Title,Published_date,Views,Likes,Dislikes,Comments,Duration (Minutes)
7 Mistakes to Avoid in Your Data Analytics Job Search | CareerFoundry Webinar,2023-11-28T17:36:39Z,13699,432,0,11,71.62
Group By + Order By in MySQL | Beginner MySQL Series,2023-11-28T13:00:57Z,96082,1777,0,42,10.77
Where Clause in MySQL | Beginner MySQL Series,2023-11-21T13:00:24Z,105706,1861,0,71,12.45
Why Data Analysts Hate Using Excel,2023-11-14T13:00:21Z,24994,943,0,142,7.4
Select Statement in MySQL | Beginner MySQL Series,2023-11-07T13:00:11Z,168957,2260,0,84,11.0
Installing MySQL and Creating Databases | MySQL for Beginners,2023-10-31T12:00:54Z,489898,6698,0,706,12.07
Python Beginner to Advanced in One Hour | CareerFoundry Webinar,2023-10-26T16:30:05Z,25319,983,0,14,78.48
How to Start a Data YouTube Channel,2023-10-24T12:00:30Z,8874,410,0,46,10.95
600k Livestream! | Analyst Builder Giveaways | Songs | My Mom is Joining!,2023-10-20T16:18:10Z,5144,240,0,11,85.12
Consulting and Freelancing in Data Analytics | ATA Show: Episode 25,2023-10-17T12:00:04Z,16943,639,0,243,74.05
Data Analyst vs Business Analyst,2023-10-13T13:37:21Z,72790,4251,0,40,0.98
First Look at Analyst Builder! | The All-in-One Platform for Data Analysts | Beta Launch Coming Soon,2023-10-10T12:00:36Z,32089,859,0,214,21.85
#DataAnalysis #DataAnalyst #DataRealities,2023-10-09T12:11:16Z,24364,1517,0,21,0.67
#DataAnalyst #DataCareers #DataAnalysis,2023-10-05T12:13:45Z,16376,1268,0,32,0.97
"Data Analyst vs Data Engineer | Responsibilities, Salaries, Skills, Education",2023-10-03T12:00:26Z,35910,777,0,43,6.43
Data Analyst Q/A Livestream | September Livestream | Ask Me Anything!,2023-09-28T16:09:03Z,8957,286,0,21,93.68
#Salary #DataAnalyst #SalaryNegotiation,2023-09-28T12:37:36Z,13293,919,0,7,0.92
AI and Analytics with SAS | SAS Explore Recap,2023-09-26T12:00:49Z,16926,424,0,28,2.98
My Very First Video,2023-09-25T13:13:18Z,8651,481,0,29,0.38
#DataAnalyst #CareerPath,2023-09-22T11:45:01Z,28781,2173,0,22,0.87
"Data Analyst vs Data Scientist | Responsibilities, Salaries, Skills, Education",2023-09-19T12:00:34Z,45140,1107,0,53,11.22
#Excel #DataAnalyst #DataAnalysis,2023-09-18T11:38:11Z,14204,1149,0,20,0.93
"Data Analyst vs Business Analyst | Responsibilities, Salaries, Skills, Education",2023-09-12T12:00:07Z,44894,1598,0,101,4.9
#DataAnalysis #DataAnalyst,2023-09-07T11:57:32Z,19989,1460,0,23,0.88
Hard Skills vs Soft Skills in the Data World | Which is More Important?,2023-09-05T12:00:34Z,14666,672,0,30,9.7
"Entry Level vs Mid Level vs Senior Level Data Analyst | Responsibilities, Salary, Education, Skills",2023-08-29T04:00:33Z,42153,1859,0,114,5.38
#DataAnalyst #DataAnalysis #Promotion,2023-08-28T11:53:52Z,10517,623,0,10,0.85
#DataAnalyst #DataAnalysis,2023-08-24T11:53:05Z,19876,1340,0,53,1.0
Regular Expression Use Cases in Python,2023-08-22T12:00:35Z,9278,218,0,20,12.78
