Title,Published_date,Views,Likes,Dislikes,Comments,Duration (Minutes)
Solving Medium Level SQL LeetCode Questions | Part 2/3,2020-12-22T12:00:04Z,11428,242,0,32,21.43
Entry vs Mid vs Senior Level Data Analyst | Alex The Analyst Show | Episode 15,2020-12-17T12:00:12Z,46904,1551,0,210,26.67
Data Engineer vs Data Analyst | Which Is Right For You?,2020-12-15T12:00:08Z,84411,2767,0,146,6.65
How to Find Out Your Coworkers Salary | Alex The Analyst Show | Episode 14,2020-12-10T12:00:30Z,2933,93,0,53,26.18
Advanced SQL Tutorial | CTE (Common Table Expression),2020-12-08T12:00:05Z,349030,5571,0,187,3.73
"Data Analyst Salary (Expectations, Bonuses, 401K, ESPP) | Alex The Analyst Show | Episode 13",2020-12-03T12:00:00Z,23129,739,0,189,27.13
Intermediate SQL Tutorial | Partition By,2020-12-01T12:04:43Z,280586,6480,0,202,4.23
Data Analyst Q/A LIVE #5 | AMA,2020-11-28T17:07:30Z,4864,131,0,18,89.52
Completely REALISTIC Jobs on LinkedIn | Alex The Analyst Show | Episode 12,2020-11-25T11:00:05Z,24629,879,0,162,26.72
Completely Unrealistic Jobs on LinkedIn | Alex The Analyst Show | Episode 11,2020-11-19T15:00:26Z,14504,570,0,205,22.15
Top 3 Tips on Using LinkedIn to Land a Job,2020-11-17T14:11:52Z,298169,10977,0,237,6.83
What is No Code Analytics? | Alex The Analyst Show | Episode 10,2020-11-12T12:34:08Z,3848,120,0,81,22.58
Solving LeetCode SQL Interview Questions | Part 1/3,2020-11-10T15:02:50Z,25628,662,0,65,27.22
What is Analytics Consulting? With John Ariansen | Alex The Analyst Show | Episode 9,2020-11-05T15:43:17Z,13402,386,0,118,53.93
Data Analyst Skills Path | What Skills You NEED to Know,2020-11-03T15:13:12Z,77177,3608,0,274,4.77
Data Analyst Q&A LIVE #4,2020-10-30T15:13:53Z,3505,105,0,25,69.17
Asking My Wife Your Questions About Me | Alex The Analyst Show | Episode 8,2020-10-27T16:06:53Z,14109,561,0,222,29.58
Top 10 Udemy Courses for Data Analysts,2020-10-22T15:14:21Z,173121,4872,0,296,10.95
Data Analyst Certifications | Are They Worth It? | Alex The Analyst Show | Episode 7,2020-10-20T14:08:32Z,179133,6210,0,987,33.28
Working at a Startup vs Fortune 500 Company | Alex The Analyst Show | Episode 6,2020-10-15T15:33:32Z,4738,177,0,74,29.37
Top 10 Coursera Courses for Data Analysts,2020-10-13T14:40:18Z,109748,4763,0,286,10.55
Imposter Syndrome in Tech | Alex The Analyst Show | Episode 5,2020-10-08T14:26:27Z,7369,369,0,176,25.93
Data Analyst Expectations vs Reality,2020-10-06T14:52:33Z,75769,2800,0,188,3.93
Covid and the Data Analyst Job Market | Alex The Analyst Show | Episode 4,2020-10-01T13:53:17Z,7270,253,0,161,26.1
Self Taught vs Boot Camp vs Degree | Alex The Analyst Show | Episode 3,2020-09-24T15:29:17Z,45374,1517,0,717,28.0
Top 5 Reasons You'll Be a Good Data Analyst,2020-09-22T13:03:29Z,14688,615,0,82,3.73
How I Changed Careers to Become a Data Analyst | Alex The Analyst Show | Episode 2,2020-09-10T13:16:00Z,416511,12165,0,3825,40.9
Top 5 Reasons Data Analytics is a Good Career Choice,2020-09-08T14:15:55Z,44483,1319,0,73,2.88
The Hiring Process from an Interviewer's Perspective | Alex The Analyst Show | Episode 1,2020-09-03T15:38:28Z,21245,696,0,84,27.07
Top 5 Reasons Not to Lie on Your Resume,2020-09-01T12:29:45Z,12141,209,0,120,3.95
Live Data Analyst Q&A #3,2020-08-29T14:37:52Z,2984,101,0,43,62.3
Data Analyst Career Path | How to Become a Data Analyst + What to Do Next,2020-08-20T13:46:16Z,130844,4665,0,271,8.7
Top 5 Reasons Not to Become a Data Analyst,2020-08-12T14:52:19Z,923683,19775,0,1049,5.3
Data Analyst Bootcamps | Are They Worth It?,2020-08-05T13:14:01Z,34561,582,0,91,5.77
What Does a Data Analyst Actually Do?,2020-07-29T13:48:00Z,963049,18795,0,491,4.3
Data Analyst Question and Answer | Answering Your YouTube Questions,2020-07-22T14:35:55Z,4656,173,0,67,5.82
Scraping Data Off Twitter Using Python | Twitterscraper + NLP + Data Visualization,2020-07-15T14:00:20Z,54627,1383,0,158,6.7
Data Analyst vs Business Analyst | Which Is Right For You?,2020-07-03T14:17:52Z,762961,19377,0,585,4.67
Best Free Online Courses for Data Analysts,2020-06-23T13:55:50Z,57373,2756,0,95,4.98
Best Online Courses for Data Analysts,2020-06-17T14:57:22Z,184442,9472,0,424,8.75
Data Scientist vs Data Analyst | Which Is Right For You?,2020-06-10T15:49:15Z,785929,24279,0,864,7.78
Intermediate SQL Tutorial | Aliasing,2020-06-04T14:00:10Z,149162,3994,0,101,6.2
Data Analyst Q&A LIVE,2020-05-31T13:54:38Z,11022,263,0,54,51.75
Data Analyst Interviews | Salary Negotiation,2020-05-27T15:13:50Z,26631,844,0,27,5.62
Data Analyst Interview Questions | What To Say vs What NOT To Say,2020-05-20T14:03:02Z,74865,1815,0,36,7.82
SQL Interview Questions and Answers for Beginners | Data Analyst Interview Questions,2020-05-13T15:00:26Z,127793,3316,0,122,8.03
Data Analyst Interview Questions | Phone + In-Person Interview Questions,2020-05-06T15:20:18Z,82331,1652,0,62,7.73
Day in the Life of a Data Analyst | Fortune 500 Edition (During Quarantine),2020-04-23T13:08:33Z,15254,521,0,52,6.92
Intermediate SQL Tutorial | Updating/Deleting Data,2020-04-16T12:58:52Z,153422,3449,0,141,4.62
Intermediate SQL Tutorial | Having Clause,2020-04-09T16:01:02Z,181375,4706,0,86,3.52
Intermediate SQL Tutorial | Case Statement | Use Cases,2020-04-02T15:16:37Z,296403,7208,0,428,7.43
Intermediate SQL Tutorial | Unions | Union Operator,2020-03-26T16:51:37Z,260990,5071,0,166,5.42
Intermediate SQL Tutorial | Inner/Outer Joins | Use Cases,2020-03-19T15:40:58Z,534989,9086,0,474,15.88
Day in the Life of a Data Analyst | Fortune 500 Edition,2020-03-11T13:44:54Z,125911,2586,0,262,4.33
SQL Basics Tutorial For Beginners | Group By + Order By Statements | 4/4,2020-03-03T15:06:36Z,332520,8195,0,235,8.15
SQL Basics Tutorial For Beginners | Where Statement | 3/4,2020-03-02T16:01:01Z,350724,6123,0,157,7.97
SQL Basics Tutorial For Beginners | Select + From Statements | 2/4,2020-03-01T17:02:28Z,510922,7395,0,304,6.23
SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,2020-03-01T00:50:38Z,1420319,18292,0,2050,9.62
Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,2020-02-26T15:11:22Z,25919,852,0,162,7.57
Data Analyst Resume | Reviewing YOUR Data Analyst Resumes!,2020-02-24T16:34:51Z,26030,548,0,39,17.83
Data Analyst Salary in 2020,2020-02-19T15:43:59Z,8200,156,0,26,3.73
Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,2020-02-14T18:03:34Z,14620,627,0,39,6.0
Switching Careers to Become a Data Analyst | How I Made the Switch,2020-02-11T15:03:18Z,49554,1797,0,251,4.18
Data Analyst Resume | Complete Guide To Creating A Data Analyst Resume | Tips + Templates + Examples,2020-02-06T16:00:52Z,122421,3545,0,104,11.3
Data Analyst Resume | Reviewing My Resume! | Fortune 500 Data Analyst,2020-01-30T14:07:55Z,75722,1706,0,63,7.55
Working at a Big Company Vs Small Company | Told by a Fortune 500 Data Analyst,2020-01-25T16:38:39Z,15420,413,0,22,5.83
Data Analyst Salary | 100k with No Experience,2020-01-23T03:16:09Z,65425,2221,0,231,5.05
Truth About Big Companies | Told by a Fortune 500 Data Analyst,2020-01-21T03:52:15Z,9215,334,0,20,5.75
Top 3 Data Analyst Skills in 2020,2020-01-17T14:31:39Z,29617,1420,0,141,2.67
